FAMILIA;MERCADO;EMBALAGEM;MARCA;DECISAO S&OP;FATURADO LÍQUIDO;VENDIDO;CARTEIRA;% ATINGIMENTO CONSENSO;FATURADO ESTIMADO;FATURADO ESTIMADO VS CONSENSO;ESTOQUE TRANSITO;ESTOQUE;ESTOQUE QUALIDADE;ESTOQUE LÍQUIDO;DIAS COBERTURA ESTOQUE;ESTOQUE SUFICIENTE;TOTAL PROD. REAL
BISCOITO AMANTEIGADOS;NACIONAL;;MARILAN;0.00;99.07;138.76;164.08;;0.00;0.00;26.63;220.88;2.35;83.42;;346.58;540.36
BISCOITO AMANTEIGADOS;NACIONAL;AMANTEIGADOS-MP;MARILAN;0.00;0.00;0.44;0.44;;0.00;0.00;0.00;0.08;0.45;-0.36;;0.08;0.00
BISCOITO CHAMPANHE;NACIONAL;CHAMPANHE;MARILAN;0.00;0.31;1.16;3.16;;0.00;0.00;0.00;5.38;0.00;2.22;;5.69;0.00
BISCOITO COOKIES;NACIONAL;COOKIE IND 80GR;MARILAN;0.00;46.73;18.91;66.61;;0.00;0.00;5.09;14.51;0.11;-47.01;;66.33;864.54
BISCOITO COOKIES;NACIONAL;COOKIE IND DP 40GR;MARILAN;0.00;3.88;2.58;8.63;;0.00;0.00;0.23;2.78;0.05;-5.62;;6.88;2,692.62
BISCOITO COOKIES;NACIONAL;COOKIE IND DP 60GR;TURMIX;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00
BISCOITO COOKIES;NACIONAL;COOKIE SAUD 80GR;LEV;0.00;0.39;1.33;4.56;;0.00;0.00;0.12;1.11;0.03;-3.33;;1.63;535.31
BISCOITO COOKIES;NACIONAL;COOKIE SAUD DP 40GR;LEV;0.00;0.04;0.28;0.68;;0.00;0.00;0.00;0.27;0.00;-0.41;;0.31;225.11
BISCOITO CRACKERS;NACIONAL;;MARILAN;0.00;1,063.73;1,191.82;323.73;;0.00;0.00;53.71;1,438.17;7.41;1,168.15;;2,555.61;3,293.31
BISCOITO CRACKERS;NACIONAL;AGUA SAL/CRACKER-MP;MARILAN;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.29;0.00;0.29;;0.29;0.00
BISCOITO CRACKERS;NACIONAL;CRACKER ESPECIAL-MP;MARILAN;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.20;0.00;;0.00;12,632.67
BISCOITO CRACKERS;NACIONAL;CRACKER INT-MP;MARILAN;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.15;0.00;0.15;;0.15;0.00
BISCOITO CRACKERS;NACIONAL;CRACKER LIGHT-MP;MARILAN;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00
BISCOITO CRACKERS;NACIONAL;CRACKER MANTEIGA-MP;MARILAN;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00
BISCOITO CRACKERS;NACIONAL;CRACKER-TB;LEV;0.00;0.22;0.24;1.21;;0.00;0.00;0.02;2.52;0.00;1.32;;2.76;212.92
BISCOITO CRACKERS;NACIONAL;CRACKER-TB;MARILAN;0.00;0.00;0.11;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00
BISCOITO CRACKERS;NACIONAL;GERGELIM-MP;MARILAN;0.00;0.00;0.01;0.36;;0.00;0.00;0.00;0.05;0.00;-0.31;;0.05;0.00
BISCOITO CRACKERS;NACIONAL;GERGELIM-TB;LEV;0.00;0.80;1.18;1.96;;0.00;0.00;0.00;2.00;0.01;0.04;;2.79;738.32
BISCOITO CRACKERS;NACIONAL;GERGELIM-TB;MARILAN;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00
BISCOITO LAMINADO;NACIONAL;;MARILAN;0.00;924.53;1,011.88;594.74;;0.00;0.00;90.25;1,610.29;11.73;1,105.81;;2,625.07;3,637.79
BISCOITO LAMINADO;NACIONAL;DISTRACAO-MP;DISTRACAO;0.00;0.00;0.00;0.31;;0.00;0.00;0.00;0.66;0.00;0.34;;0.66;0.00
BISCOITO LAMINADO;NACIONAL;DISTRACAO-TB;MARILAN;0.00;0.00;0.00;0.05;;0.00;0.00;0.00;0.02;0.00;-0.03;;0.02;0.00
BISCOITO LAMINADO;NACIONAL;LAMINADOS INT-MP;MARILAN;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00
BISCOITO LAMINADO;NACIONAL;LAMINADOS INT-TB;MARILAN;0.00;0.12;0.15;0.97;;0.00;0.00;0.00;1.59;0.00;0.61;;1.70;0.00
